dataset	algorithm	method	seed	m	runs	nmi_mean	nmi_std	ari_mean	ari_std	f_mean	f_std	seconds	status	error
Aggregation	sdgca	average	19	20	1	0.985137	0.000000	0.989801	0.000000	0.992000	0.000000	18.03	ok	
Aggregation	sdgca	average	19	20	5	0.984563	0.001147	0.989367	0.000866	0.991661	0.000680	162.46	ok	
Aggregation	sdgca_modified	average	19	20	5	0.985137	0.000000	0.989801	0.000000	0.992000	0.000000	150.10	ok	
Aggregation	sdgca	complete	19	20	5	0.984563	0.001147	0.989367	0.000866	0.991661	0.000680	124.88	ok	
Aggregation	sdgca_modified	complete	19	20	5	0.930165	0.045116	0.867972	0.103030	0.894573	0.082849	115.50	ok	
Aggregation	sdgca	single	19	20	5	0.933600	0.027171	0.886181	0.044375	0.912987	0.032881	123.43	ok	
Aggregation	sdgca_modified	single	19	20	5	0.985137	0.000000	0.989801	0.000000	0.992000	0.000000	114.95	ok	
Aggregation	sdgca	ward	19	20	5	0.972532	0.023802	0.972685	0.033159	0.978385	0.026389	122.79	ok	
Aggregation	sdgca_modified	ward	19	20	5	0.908730	0.067002	0.820230	0.144948	0.852261	0.119673	122.73	ok	
BBC	sdgca	average	19	20	5	0.396950	0.098239	0.204341	0.120055	0.468751	0.064893	105.09	ok	
BBC	sdgca_modified	average	19	20	5	0.112184	0.082140	0.022778	0.026389	0.383562	0.009934	0.77	ok	
BBC	sdgca	complete	19	20	5	0.363467	0.084143	0.256669	0.089349	0.464466	0.079822	120.34	ok	
BBC	sdgca_modified	complete	19	20	5	0.318569	0.068705	0.219046	0.084396	0.448399	0.039455	0.56	ok	
BBC	sdgca	single	19	20	5	0.031671	0.018501	0.005690	0.004464	0.380173	0.001702	104.87	ok	
BBC	sdgca_modified	single	19	20	5	0.023617	0.015315	0.003584	0.002815	0.379334	0.000798	0.48	ok	
BBC	sdgca	ward	19	20	5	0.421347	0.067234	0.228649	0.074276	0.459055	0.043195	105.16	ok	
BBC	sdgca_modified	ward	19	20	5	0.352254	0.074819	0.302172	0.068870	0.476344	0.051808	0.55	ok	
Ecoli	sdgca	average	19	20	5	0.697436	0.027866	0.703528	0.068828	0.783679	0.052539	25.94	ok	
Ecoli	sdgca_modified	average	19	20	5	0.652687	0.032085	0.588607	0.129828	0.688497	0.110990	20.51	ok	
Ecoli	sdgca	complete	19	20	5	0.699849	0.026446	0.704431	0.063290	0.785919	0.049771	24.52	ok	
Ecoli	sdgca_modified	complete	19	20	5	0.600150	0.032252	0.435412	0.015592	0.564147	0.022918	22.91	ok	
Ecoli	sdgca	single	19	20	5	0.568002	0.156225	0.510046	0.234285	0.684817	0.129580	24.18	ok	
Ecoli	sdgca_modified	single	19	20	5	0.670380	0.053583	0.642338	0.101265	0.751742	0.065310	22.24	ok	
Ecoli	sdgca	ward	19	20	5	0.636770	0.024432	0.502594	0.054748	0.605310	0.051472	36.11	ok	
Ecoli	sdgca_modified	ward	19	20	5	0.601403	0.026625	0.407434	0.041087	0.526204	0.039826	24.82	ok	
GLIOMA	sdgca	average	19	20	5	0.503598	0.032729	0.345456	0.042676	0.530983	0.033855	2.45	ok	
GLIOMA	sdgca_modified	average	19	20	5	0.505928	0.016638	0.327251	0.010927	0.512233	0.009479	1.09	ok	
GLIOMA	sdgca	complete	19	20	5	0.499568	0.029259	0.326215	0.032246	0.510843	0.021699	2.38	ok	
