=== linkage suite started at 2026-04-27 17:01:14 ===
2026-04-27 17:01:32 | Aggregation | sdgca | average | ok | 18.03 sec
=== linkage suite started at 2026-04-27 17:02:28 ===
=== linkage suite started at 2026-04-27 17:12:14 ===
2026-04-27 17:14:57 | Aggregation | sdgca | average | ok | 162.46 sec
2026-04-27 17:17:27 | Aggregation | sdgca_modified | average | ok | 150.10 sec
2026-04-27 17:19:32 | Aggregation | sdgca | complete | ok | 124.88 sec
2026-04-27 17:21:27 | Aggregation | sdgca_modified | complete | ok | 115.50 sec
2026-04-27 17:23:31 | Aggregation | sdgca | single | ok | 123.43 sec
2026-04-27 17:25:26 | Aggregation | sdgca_modified | single | ok | 114.95 sec
2026-04-27 17:27:29 | Aggregation | sdgca | ward | ok | 122.79 sec
2026-04-27 17:29:31 | Aggregation | sdgca_modified | ward | ok | 122.73 sec
2026-04-27 17:31:16 | BBC | sdgca | average | ok | 105.09 sec
2026-04-27 17:31:17 | BBC | sdgca_modified | average | ok | 0.77 sec
2026-04-27 17:33:18 | BBC | sdgca | complete | ok | 120.34 sec
2026-04-27 17:33:18 | BBC | sdgca_modified | complete | ok | 0.56 sec
2026-04-27 17:35:03 | BBC | sdgca | single | ok | 104.87 sec
2026-04-27 17:35:03 | BBC | sdgca_modified | single | ok | 0.48 sec
2026-04-27 17:36:49 | BBC | sdgca | ward | ok | 105.16 sec
2026-04-27 17:36:49 | BBC | sdgca_modified | ward | ok | 0.55 sec
2026-04-27 17:37:15 | Ecoli | sdgca | average | ok | 25.94 sec
2026-04-27 17:37:36 | Ecoli | sdgca_modified | average | ok | 20.51 sec
2026-04-27 17:38:00 | Ecoli | sdgca | complete | ok | 24.52 sec
2026-04-27 17:38:23 | Ecoli | sdgca_modified | complete | ok | 22.91 sec
2026-04-27 17:38:47 | Ecoli | sdgca | single | ok | 24.18 sec
2026-04-27 17:39:10 | Ecoli | sdgca_modified | single | ok | 22.24 sec
2026-04-27 17:39:46 | Ecoli | sdgca | ward | ok | 36.11 sec
2026-04-27 17:40:10 | Ecoli | sdgca_modified | ward | ok | 24.82 sec
2026-04-27 17:40:13 | GLIOMA | sdgca | average | ok | 2.45 sec
2026-04-27 17:40:14 | GLIOMA | sdgca_modified | average | ok | 1.09 sec
2026-04-27 17:40:16 | GLIOMA | sdgca | complete | ok | 2.38 sec
2026-04-27 17:40:18 | GLIOMA | sdgca_modified | complete | ok | 1.18 sec
2026-04-27 17:40:20 | GLIOMA | sdgca | single | ok | 2.44 sec
2026-04-27 17:40:21 | GLIOMA | sdgca_modified | single | ok | 1.40 sec
2026-04-27 17:40:24 | GLIOMA | sdgca | ward | ok | 2.23 sec
2026-04-27 17:40:25 | GLIOMA | sdgca_modified | ward | ok | 1.00 sec
2026-04-27 17:40:38 | Lung | sdgca | average | ok | 13.65 sec
2026-04-27 17:40:49 | Lung | sdgca_modified | average | ok | 10.46 sec
2026-04-27 17:41:02 | Lung | sdgca | complete | ok | 13.42 sec
2026-04-27 17:41:13 | Lung | sdgca_modified | complete | ok | 10.57 sec
2026-04-27 17:41:26 | Lung | sdgca | single | ok | 13.01 sec
2026-04-27 17:41:36 | Lung | sdgca_modified | single | ok | 10.21 sec
2026-04-27 17:41:50 | Lung | sdgca | ward | ok | 14.30 sec
2026-04-27 17:42:01 | Lung | sdgca_modified | ward | ok | 10.41 sec
2026-04-27 17:42:06 | orlraws10P | sdgca | average | ok | 5.27 sec
2026-04-27 17:42:06 | orlraws10P | sdgca_modified | average | ok | 0.05 sec
2026-04-27 17:42:11 | orlraws10P | sdgca | complete | ok | 5.39 sec
2026-04-27 17:42:11 | orlraws10P | sdgca_modified | complete | ok | 0.05 sec
2026-04-27 17:42:17 | orlraws10P | sdgca | single | ok | 5.57 sec
2026-04-27 17:42:17 | orlraws10P | sdgca_modified | single | ok | 0.05 sec
2026-04-27 17:42:23 | orlraws10P | sdgca | ward | ok | 5.70 sec
2026-04-27 17:42:23 | orlraws10P | sdgca_modified | ward | ok | 0.05 sec
2026-04-27 18:01:25 | custom_densired_dataset | sdgca | average | ok | 1141.70 sec
=== linkage suite started at 2026-04-27 18:13:15 ===
2026-04-27 18:13:15 | Aggregation | sdgca | average | skipped_existing
2026-04-27 18:13:15 | Aggregation | sdgca_modified | average | skipped_existing
2026-04-27 18:13:15 | Aggregation | sdgca | complete | skipped_existing
2026-04-27 18:13:15 | Aggregation | sdgca_modified | complete | skipped_existing
2026-04-27 18:13:15 | Aggregation | sdgca | single | skipped_existing
2026-04-27 18:13:15 | Aggregation | sdgca_modified | single | skipped_existing
2026-04-27 18:13:15 | Aggregation | sdgca | ward | skipped_existing
2026-04-27 18:13:15 | Aggregation | sdgca_modified | ward | skipped_existing
2026-04-27 18:13:15 | BBC | sdgca | average | skipped_existing
2026-04-27 18:13:15 | BBC | sdgca_modified | average | skipped_existing
2026-04-27 18:13:15 | BBC | sdgca | complete | skipped_existing
2026-04-27 18:13:15 | BBC | sdgca_modified | complete | skipped_existing
2026-04-27 18:13:15 | BBC | sdgca | single | skipped_existing
2026-04-27 18:13:15 | BBC | sdgca_modified | single | skipped_existing
2026-04-27 18:13:15 | BBC | sdgca | ward | skipped_existing
2026-04-27 18:13:15 | BBC | sdgca_modified | ward | skipped_existing
2026-04-27 18:13:15 | Ecoli | sdgca | average | skipped_existing
2026-04-27 18:13:15 | Ecoli | sdgca_modified | average | skipped_existing
2026-04-27 18:13:15 | Ecoli | sdgca | complete | skipped_existing
2026-04-27 18:13:15 | Ecoli | sdgca_modified | complete | skipped_existing
2026-04-27 18:13:15 | Ecoli | sdgca | single | skipped_existing
2026-04-27 18:13:15 | Ecoli | sdgca_modified | single | skipped_existing
2026-04-27 18:13:15 | Ecoli | sdgca | ward | skipped_existing
2026-04-27 18:13:15 | Ecoli | sdgca_modified | ward | skipped_existing
2026-04-27 18:13:15 | GLIOMA | sdgca | average | skipped_existing
2026-04-27 18:13:15 | GLIOMA | sdgca_modified | average | skipped_existing
2026-04-27 18:13:15 | GLIOMA | sdgca | complete | skipped_existing
2026-04-27 18:13:15 | GLIOMA | sdgca_modified | complete | skipped_existing
2026-04-27 18:13:15 | GLIOMA | sdgca | single | skipped_existing
2026-04-27 18:13:15 | GLIOMA | sdgca_modified | single | skipped_existing
2026-04-27 18:13:15 | GLIOMA | sdgca | ward | skipped_existing
2026-04-27 18:13:15 | GLIOMA | sdgca_modified | ward | skipped_existing
2026-04-27 18:13:15 | Lung | sdgca | average | skipped_existing
2026-04-27 18:13:15 | Lung | sdgca_modified | average | skipped_existing
2026-04-27 18:13:15 | Lung | sdgca | complete | skipped_existing
2026-04-27 18:13:15 | Lung | sdgca_modified | complete | skipped_existing
2026-04-27 18:13:15 | Lung | sdgca | single | skipped_existing
2026-04-27 18:13:15 | Lung | sdgca_modified | single | skipped_existing
2026-04-27 18:13:15 | Lung | sdgca | ward | skipped_existing
2026-04-27 18:13:15 | Lung | sdgca_modified | ward | skipped_existing
2026-04-27 18:13:15 | orlraws10P | sdgca | average | skipped_existing
2026-04-27 18:13:15 | orlraws10P | sdgca_modified | average | skipped_existing
2026-04-27 18:13:15 | orlraws10P | sdgca | complete | skipped_existing
2026-04-27 18:13:15 | orlraws10P | sdgca_modified | complete | skipped_existing
2026-04-27 18:13:15 | orlraws10P | sdgca | single | skipped_existing
2026-04-27 18:13:15 | orlraws10P | sdgca_modified | single | skipped_existing
2026-04-27 18:13:15 | orlraws10P | sdgca | ward | skipped_existing
2026-04-27 18:13:15 | orlraws10P | sdgca_modified | ward | skipped_existing
2026-04-27 18:13:15 | custom_densired_dataset | sdgca | average | skipped_existing
2026-04-27 18:33:20 | custom_densired_dataset | sdgca_modified | average | ok | 1205.20 sec
2026-04-27 18:49:16 | custom_densired_dataset | sdgca | complete | ok | 956.12 sec
2026-04-27 19:09:37 | custom_densired_dataset | sdgca_modified | complete | ok | 1220.97 sec
=== linkage suite started at 2026-04-27 19:13:52 ===
2026-04-27 19:13:52 | Aggregation | sdgca | average | skipped_existing
2026-04-27 19:13:52 | Aggregation | sdgca_modified | average | skipped_existing
2026-04-27 19:13:52 | Aggregation | sdgca | complete | skipped_existing
2026-04-27 19:13:52 | Aggregation | sdgca_modified | complete | skipped_existing
2026-04-27 19:13:52 | Aggregation | sdgca | single | skipped_existing
2026-04-27 19:13:52 | Aggregation | sdgca_modified | single | skipped_existing
