dataset	type	objects	features	classes	base_clusterings	imbalance_ratio	sdgca_nmi	sdgca_nmi_std	sdgca_ari	sdgca_ari_std	sdgca_f	sdgca_f_std	mod_nmi	mod_nmi_std	mod_ari	mod_ari_std	mod_f	mod_f_std	delta_nmi	delta_ari	delta_f	winner	notes	source
Aggregation	real	788		7	100	8.0294	0.984563	0.001147	0.989367	0.000866	0.991661	0.000680	0.984563	0.001147	0.989367	0.000866	0.991661	0.000680	0.000000	0.000000	0.000000	tie	Real dataset of medium size with a strong class imbalance.	full_benchmark.tsv (m=20, runs=5, average)
BBC	real	737		5	100	2.6500	0.396950	0.098239	0.204341	0.120055	0.468751	0.064893	0.403107	0.090170	0.237513	0.116162	0.481179	0.064861	0.006157	0.033172	0.012428	modified	Real dataset of moderate size with relatively balanced classes.	full_benchmark.tsv (m=20, runs=5, average)
Ecoli	real	336		8	100	71.5000	0.697436	0.027866	0.703528	0.068828	0.783679	0.052539	0.693729	0.025197	0.699969	0.065344	0.782448	0.050159	-0.003707	-0.003559	-0.001231	baseline	Small real dataset with an extreme class imbalance.	full_benchmark.tsv (m=20, runs=5, average)
GLIOMA	real	50		4	100	2.1429	0.503598	0.032729	0.345456	0.042676	0.530983	0.033855	0.524464	0.006669	0.365458	0.011967	0.547687	0.015244	0.020866	0.020002	0.016704	modified	Very small real dataset with only 50 objects.	full_benchmark.tsv (m=20, runs=5, average)
Lung	real	203		5	100	23.1667	0.749228	0.012810	0.778875	0.012951	0.885345	0.005250	0.712214	0.046543	0.679991	0.130226	0.814443	0.093288	-0.037014	-0.098884	-0.070902	baseline	Small real dataset with strong imbalance.	full_benchmark.tsv (m=20, runs=5, average)
orlraws10P	real	100		10	100	1.0000	0.848063	0.017318	0.665515	0.037470	0.700132	0.031972	0.842527	0.020627	0.666719	0.021763	0.699993	0.019354	-0.005536	0.001204	-0.000139	baseline	Very small but perfectly balanced real dataset with ten classes.	full_benchmark.tsv (m=20, runs=5, average)
custom_densired_dataset	synthetic	2000	2	6	30	1.0918	0.826169	0.019401	0.689544	0.039197	0.752378	0.029922	0.826169	0.019401	0.689544	0.039197	0.752378	0.029922	0.000000	0.000000	0.000000	tie	2D synthetic dataset with complex geometry and nearly balanced classes.	full_benchmark.tsv (m=20, runs=5, average)
densired_compact_hard	synthetic	3000	2	10	30	1.1367	0.770442		0.546219		0.608157		0.814871		0.597983		0.651135		0.044429	0.051764	0.042978	modified	2D compact density-based clusters with nearly balanced classes.	sdgca_compact_linkage.tsv (average)
densired_mix_hard	synthetic	3500	2	10	30	1.1424	0.860000	0.000000	0.658000	0.000000	0.701000	0.000000	0.872000	0.000000	0.710000	0.000000	0.746000	0.000000	0.012000	0.052000	0.045000	modified	2D synthetic dataset with mixed complex geometry.	manual run 2026-04-27 (m=20, runs=1, average)
densired_stretched_hard	synthetic	3500	10	10	30	1.1621						0.007000	0.000000	-0.000000	0.000000	0.182000	0.000000				modified_only	10D synthetic dataset with stretched clusters; baseline SDGCA failed with memory allocation error.	baseline failed, modified manual run 2026-04-27 (m=20, runs=1, average)
repliclust_oblong_overlap	synthetic	2500	2	6	30	2.4980	0.826000	0.000000	0.679000	0.000000	0.752000	0.000000	0.826000	0.000000	0.679000	0.000000	0.752000	0.000000	0.000000	0.000000	0.000000	tie	2D synthetic dataset with elongated overlapping clusters.	manual run 2026-04-27 (m=20, runs=1, average)
